state,district_as_per_source,district_as_per_lgd,district_lgd_code,notes
Andaman and Nicobar Islands,South Andaman,South Andamans,602,
Andaman and Nicobar Islands,South Andamans,South Andamans,602,
Andaman and Nicobar Islands,Nicobar,Nicobars,603,
Andaman and Nicobar Islands,Nicobars,Nicobars,603,
Andaman and Nicobar Islands,North & Middle Andaman,North and Middle Andaman,632,
Andaman and Nicobar Islands,North and Middle Andaman,North and Middle Andaman,632,
Andhra Pradesh,Adilabad,Adilabad,501,
Andhra Pradesh,Anantapur,Ananthapuramu,502,
Andhra Pradesh,Anantapuramu,Ananthapuramu,502,
Andhra Pradesh,Ananthapuramu,Ananthapuramu,502,
Andhra Pradesh,Chittoor,Chittoor,503,
Andhra Pradesh,Cuddapah,Y.S.R.,504,
Andhra Pradesh,Kadapa YSR,Y.S.R.,504,
Andhra Pradesh,Y.S.R.,Y.S.R.,504,
Andhra Pradesh,East Godavari,East Godavari,505,
Andhra Pradesh,Guntur,Guntur,506,
Andhra Pradesh,Hyderabad,Hyderabad,507,
Andhra Pradesh,Karimnagar,Karimnagar,508,
Andhra Pradesh,Khammam,Khammam,509,
Andhra Pradesh,Krishna,Krishna,510,
Andhra Pradesh,Kurnool,Kurnool,511,
Andhra Pradesh,Mahbubnagar,Mahbubnagar,512,
Andhra Pradesh,Medak,Medak,513,
Andhra Pradesh,Nalgonda,Nalgonda,514,
Andhra Pradesh,Nellore,Sri Potti Sriramulu Nellore,515,
Andhra Pradesh,SPSR- Nellore,Sri Potti Sriramulu Nellore,515,
Andhra Pradesh,Sri Potti Sriramulu Nellore,Sri Potti Sriramulu Nellore,515,
Andhra Pradesh,Nizamabad,Nizamabad,516,
Andhra Pradesh,Prakasam,Prakasam,517,
Andhra Pradesh,Rangareddi,Rangareddi,518,
Andhra Pradesh,Srikakulam,Srikakulam,519,
Andhra Pradesh,Visakhapatnam,Visakhapatnam,520,
Andhra Pradesh,Vishakhapatnam,Visakhapatnam,520,
Andhra Pradesh,Vizianagaram,Vizianagaram,521,
Andhra Pradesh,Warangal,Warangal,522,
Andhra Pradesh,West Godavari,West Godavari,523,
Andhra Pradesh,Parvathipuram Manyam,Parvathipuram Manyam,743,
Andhra Pradesh,Anakapalli,Anakapalli,744,
Andhra Pradesh,Alluri Sitharama Raju,Alluri Sitharama Raju,745,
Andhra Pradesh,Kakinada,Kakinada,746,
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Dr. B.R. Ambedkar Konaseema,747,
Andhra Pradesh,Konaseema,Dr. B.R. Ambedkar Konaseema,747,
Andhra Pradesh,Eluru,Eluru,748,
Andhra Pradesh,NTR,NTR,749,
Andhra Pradesh,Bapatla,Bapatla,750,
Andhra Pradesh,Palnadu,Palnadu,751,
Andhra Pradesh,Tirupati,Tirupati,752,
Andhra Pradesh,Annamayya,Annamayya,753,
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai,754,
Andhra Pradesh,Nandyal,Nandyal,755,
Andhra Pradesh,Vijayawada(U),Vijayawada(U),,
Arunachal Pradesh,Changlang,Changlang,229,
Arunachal Pradesh,Chunglang,Changlang,229,
Arunachal Pradesh,Dibang Valley,Dibang Valley,230,
Arunachal Pradesh,East Kameng,East Kameng,231,
Arunachal Pradesh,East Siang,East Siang,232,
Arunachal Pradesh,Kurung Kumey,Kurung Kumey,233,
Arunachal Pradesh,Lohit,Lohit,234,
Arunachal Pradesh,Lower Dibang Valley,Lower Dibang Valley,235,
Arunachal Pradesh,Lower Subansiri,Lower Subansiri,236,
Arunachal Pradesh,Papum Pare,Papum Pare,237,
Arunachal Pradesh,Papumpare,Papum Pare,237,
Arunachal Pradesh,Tawang,Tawang,238,
Arunachal Pradesh,Tirap,Tirap,239,
Arunachal Pradesh,Upper Siang,Upper Siang,240,
Arunachal Pradesh,Upper Subansiri,Upper Subansiri,241,
Arunachal Pradesh,West Kameng,West Kameng,242,
Arunachal Pradesh,West Siang,West Siang,243,
Arunachal Pradesh,Krishna,Krishna,510,
Arunachal Pradesh,Anjaw,Anjaw,628,
Arunachal Pradesh,Longding,Longding,666,
Arunachal Pradesh,Kra Daadi,Kra Daadi,677,
Arunachal Pradesh,Namsai,Namsai,678,
Arunachal Pradesh,Siang,Siang,679,
Arunachal Pradesh,Kamle,Kamle,718,
Arunachal Pradesh,Lower Siang,Lower Siang,719,
Arunachal Pradesh,Pakke Kessang,Pakke Kessang,723,
Arunachal Pradesh,Leparada,Leparada,724,
Arunachal Pradesh,Shi Yomi,Shi Yomi,725,
Arunachal Pradesh,Shi-yomi,Shi Yomi,725,
Arunachal Pradesh,Keyi Panyor,Keyi Panyor,786,
Arunachal Pradesh,Bichom,Bichom,787,
Assam,Barpeta,Barpeta,280,
Assam,Bongaigaon,Bongaigaon,281,
Assam,Cachar,Cachar,282,
Assam,Darrang,Darrang,283,
Assam,Dhemaji,Dhemaji,284,
Assam,Dhubri,Dhubri,285,
Assam,Dibrugarh,Dibrugarh,286,
Assam,Goalpara,Goalpara,287,
Assam,Golaghat,Golaghat,288,
Assam,Hailakandi,Hailakandi,289,
Assam,Jorhat,Jorhat,290,
Assam,Kamrup,Kamrup,291,
Assam,Karbi Anglong,Karbi Anglong,292,
Assam,Karimganj,Karimganj,293,
Assam,Kokrajhar,Kokrajhar,294,
Assam,Lakhimpur,Lakhimpur,295,
Assam,Marigaon,Marigaon,296,
Assam,Morigaon,Marigaon,296,
Assam,Nagaon,Nagaon,297,
Assam,Nalbari,Nalbari,298,
Assam,Dima Hasao,Dima Hasao,299,
Assam,Dima-Hasao (N.C.Hills),Dima Hasao,299,
Assam,North Cachar Hills,Dima Hasao,299,
Assam,Sibsagar,Sivasagar,300,
Assam,Sivasagar,Sivasagar,300,
Assam,Sonitpur,Sonitpur,301,
Assam,Tinsukia,Tinsukia,302,
Assam,Chirang,Chirang,612,
Assam,Baksa,Baksa,616,
Assam,Udalguri,Udalguri,617,
Assam,Kamrup (M),Kamrup Metro,618,
Assam,Kamrup Metro,Kamrup Metro,618,
Assam,Kamrup Metropolitan,Kamrup Metro,618,
Assam,Biswanath,Biswanath,705,
Assam,Majuli,Majuli,706,
Assam,South Salmara Mancachar,South Salmara Mancachar,707,
Assam,South Salmara-mankachar,South Salmara Mancachar,707,
Assam,Chairaideo,Charaideo,708,
Assam,Charaideo,Charaideo,708,
Assam,Hojai,Hojai,709,
Assam,West Karbi Anglong,West Karbi Anglong,710,
Assam,Bajali,Bajali,739,
Assam,Tamulpur,Tamulpur,756,
Bihar,Araria,Araria,188,
Bihar,Aurangabad,Aurangabad,189,
Bihar,Banka,Banka,190,
Bihar,Begusarai,Begusarai,191,
Bihar,Bhagalpur,Bhagalpur,192,
Bihar,Bhojpur,Bhojpur,193,
Bihar,Buxar,Buxar,194,
Bihar,Darbhanga,Darbhanga,195,
Bihar,Gaya,Gaya,196,
Bihar,Gopalganj,Gopalganj,197,
Bihar,Jamui,Jamui,198,
Bihar,Jehanabad,Jehanabad,199,
Bihar,Kaimur,Kaimur (Bhabua),200,
Bihar,Kaimur (Bhabua),Kaimur (Bhabua),200,
Bihar,Kaimur(Bhabua),Kaimur (Bhabua),200,
Bihar,Katihar,Katihar,201,
Bihar,Khagaria,Khagaria,202,
Bihar,Kishanganj,Kishanganj,203,
Bihar,Lakhisarai,Lakhisarai,204,
Bihar,Madhepura,Madhepura,205,
Bihar,Madhubani,Madhubani,206,
Bihar,Munger,Munger,207,
Bihar,Muzaffarpur,Muzaffarpur,208,
Bihar,Nalanda,Nalanda,209,
Bihar,Nawada,Nawada,210,
Bihar,Paschimi Champaran,Pashchim Champaran,211,
Bihar,Pashchim Champaran,Pashchim Champaran,211,
Bihar,West Champaran,Pashchim Champaran,211,
Bihar,Patna,Patna,212,
Bihar,East Champaran,Purbi Champaran,213,
Bihar,Purba Champaran,Purbi Champaran,213,
Bihar,Purbi Champaran,Purbi Champaran,213,
Bihar,Purnia,Purnia,214,
Bihar,Rohtas,Rohtas,215,
Bihar,Saharsa,Saharsa,216,
Bihar,Samastipur,Samastipur,217,
Bihar,Saran,Saran,218,
Bihar,Sheikhpura,Sheikhpura,219,
Bihar,Sheohar,Sheohar,220,
Bihar,Sitamarhi,Sitamarhi,221,
Bihar,Siwan,Siwan,222,
Bihar,Supaul,Supaul,223,
Bihar,Vaishali,Vaishali,224,
Bihar,Arwal,Arwal,611,
Chandigarh,Chandigarh,Chandigarh,44,
Chhattisgarh,Bastar,Bastar,374,
Chhattisgarh,Bastar Jagdalpur,Bastar,374,
Chhattisgarh,Bilaspur,Bilaspur,375,
Chhattisgarh,Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,376,
Chhattisgarh,Dantewada,Dakshin Bastar Dantewada,376,
Chhattisgarh,South Bastar Dantewada,Dakshin Bastar Dantewada,376,
Chhattisgarh,South Bastar-Dantewada,Dakshin Bastar Dantewada,376,
Chhattisgarh,Dhamtari,Dhamtari,377,
Chhattisgarh,Durg,Durg,378,
Chhattisgarh,Janjgir Champa,Janjgir-Champa,379,
Chhattisgarh,Janjgir-Champa,Janjgir-Champa,379,
Chhattisgarh,Jashpur,Jashpur,380,
Chhattisgarh,Kanker,Uttar Bastar Kanker,381,
Chhattisgarh,Norh Bastar-Kanker,Uttar Bastar Kanker,381,
Chhattisgarh,Uttar Bastar Kanker,Uttar Bastar Kanker,381,
Chhattisgarh,Kabeerdham,Kabeerdham,382,
Chhattisgarh,Korba,Korba,383,
Chhattisgarh,Korea,Korea,384,
Chhattisgarh,Koriya,Korea,384,
Chhattisgarh,Mahasamund,Mahasamund,385,
Chhattisgarh,Raigarh,Raigarh,386,
Chhattisgarh,Raipur,Raipur,387,
Chhattisgarh,Rajnandgaon,Rajnandgaon,388,
Chhattisgarh,Sarguja,Surguja,389,
Chhattisgarh,Surguja,Surguja,389,
Chhattisgarh,Bijapur,Bijapur,636,
Chhattisgarh,Narayanpur,Narayanpur,637,
Chhattisgarh,Sukma,Sukma,642,
Chhattisgarh,Kondagaon,Kondagaon,643,
Chhattisgarh,Balodabazar,Balodabazar-Bhatapara,644,
Chhattisgarh,Balodabazar Bhatapara,Balodabazar-Bhatapara,644,
Chhattisgarh,Balodabazar-Bhatapara,Balodabazar-Bhatapara,644,
Chhattisgarh,Gariaband,Gariyaband,645,
Chhattisgarh,Gariyaband,Gariyaband,645,
Chhattisgarh,Balod,Balod,646,
Chhattisgarh,Mungeli,Mungeli,647,
Chhattisgarh,Surajpur,Surajpur,648,
Chhattisgarh,Balrampur,Balrampur-Ramanujganj,649,
Chhattisgarh,Balrampur-Ramanujganj,Balrampur-Ramanujganj,649,
Chhattisgarh,Bemetara,Bemetara,650,
Chhattisgarh,Gaurela Pendra Marwahi,Gaurela-Pendra-Marwahi,734,
Chhattisgarh,Gaurela-Pendra-Marwahi,Gaurela-Pendra-Marwahi,734,
Chhattisgarh,Khairagarh Chhuikhadan Gandai,Khairagarh-Chhuikhadan-Gandai,759,
Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,Khairagarh-Chhuikhadan-Gandai,759,
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb,Manendragarh-Chirmiri-Bharatpur(M C B),760,
Chhattisgarh,Manendragarh-chirmiri-bharatpur,Manendragarh-Chirmiri-Bharatpur(M C B),760,
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur(M C B),Manendragarh-Chirmiri-Bharatpur(M C B),760,
Chhattisgarh,Mohla Manpur Ambagarh Chouki,Mohla-Manpur-Ambagarh Chouki,761,
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,Mohla-Manpur-Ambagarh Chouki,761,
Chhattisgarh,Sakti,Sakti,762,
Chhattisgarh,Sarangarh Bilaigarh,Sarangarh-Bilaigarh,763,
Chhattisgarh,Sarangarh-Bilaigarh,Sarangarh-Bilaigarh,763,
Chhattisgarh,Kawardha,Kawardha,,
Chhattisgarh,Mahasamund Raipur,Mahasamund Raipur,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,465,
Dadra and Nagar Haveli and Daman and Diu,Daman,Daman,463,
Dadra and Nagar Haveli and Daman and Diu,Diu,Diu,464,
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli,465,
Dadra and Nagar Haveli and Daman and Diu,Dadra&nagar Haveli,Dadra and Nagar Haveli,465,
Daman and Diu,Daman,Daman,463,
Daman and Diu,Diu,Diu,464,
Delhi,Central,Central Delhi,77,
Delhi,Central Delhi,Central Delhi,77,
Delhi,East,East Delhi,78,
Delhi,East Delhi,East Delhi,78,
Delhi,New Delhi,New Delhi,79,
Delhi,North,North Delhi,80,
Delhi,North Delhi,North Delhi,80,
Delhi,North East,North East Delhi,81,
Delhi,North-east Delhi,North East Delhi,81,
Delhi,North East Delhi,North East Delhi,81,
Delhi,North West,North West Delhi,82,
Delhi,North-west Delhi,North West Delhi,82,
Delhi,North West Delhi,North West Delhi,82,
Delhi,South,South Delhi,83,
Delhi,South Delhi,South Delhi,83,
Delhi,South West,South West Delhi,84,
Delhi,South-west Delhi,South West Delhi,84,
Delhi,South West Delhi,South West Delhi,84,
Delhi,West,West Delhi,85,
Delhi,West Delhi,West Delhi,85,
Delhi,South East,South East Delhi,670,
Delhi,South-east Delhi,South East Delhi,670,
Delhi,Shahdara,Shahdara,671,
Delhi,Delhi,Delhi,,
Goa,North Goa,North Goa,551,
Goa,South Goa,South Goa,552,
Gujarat,Ahmedabad,Ahmedabad,438,
Gujarat,Amreli,Amreli,439,
Gujarat,Anand,Anand,440,
Gujarat,Banas Kantha,Banas Kantha,441,
Gujarat,Bharuch,Bharuch,442,
Gujarat,Bhavnagar,Bhavnagar,443,
Gujarat,Dangs,Dangs,444,
Gujarat,The Dangs,Dangs,444,
Gujarat,The Dangs (Danga Ahwa),Dangs,444,
Gujarat,Dahod,Dahod,445,
Gujarat,Dohad,Dahod,445,
Gujarat,Gandhinagar,Gandhinagar,446,
Gujarat,Jamnagar,Jamnagar,447,
Gujarat,Junagadh,Junagadh,448,
Gujarat,Kachchh,Kachchh,449,
Gujarat,Kheda,Kheda,450,
Gujarat,Mahesana,Mahesana,451,
Gujarat,Mehsana,Mahesana,451,
Gujarat,Narmada,Narmada,452,
Gujarat,Navsari,Navsari,453,
Gujarat,Panch Mahals,Panch Mahals,454,
Gujarat,Panchmahals,Panch Mahals,454,
Gujarat,Patan,Patan,455,
Gujarat,Porbandar,Porbandar,456,
Gujarat,Rajkot,Rajkot,457,
Gujarat,Sabar Kantha,Sabar Kantha,458,
Gujarat,Sabarkantha,Sabar Kantha,458,
Gujarat,Surat,Surat,459,
Gujarat,Surendranagar,Surendranagar,460,
Gujarat,Vadodara,Vadodara,461,
Gujarat,Valsad,Valsad,462,
Gujarat,Tapi,Tapi,641,
Gujarat,Chhotaudaipur,Chhotaudepur,668,
Gujarat,Chhotaudepur,Chhotaudepur,668,
Gujarat,Mahisagar,Mahisagar,669,
Gujarat,Aravalli,Arvalli,672,
Gujarat,Arvalli,Arvalli,672,
Gujarat,Morbi,Morbi,673,
Gujarat,Devbhumi Dwarka,Devbhumi Dwarka,674,
Gujarat,Gir Somnath,Gir Somnath,675,
Gujarat,Botad,Botad,676,
Haryana,Ambala,Ambala,58,
Haryana,Bhiwani,Bhiwani,59,
Haryana,Faridabad,Faridabad,60,
Haryana,Fatehabad,Fatehabad,61,
Haryana,Gurgaon,Gurugram,62,
Haryana,Gurugram,Gurugram,62,
Haryana,Hisar,Hisar,63,
Haryana,Hissar,Hisar,63,
Haryana,Jhajjar,Jhajjar,64,
Haryana,Jind,Jind,65,
Haryana,Kaithal,Kaithal,66,
Haryana,Karnal,Karnal,67,
Haryana,Kurukshetra,Kurukshetra,68,
Haryana,Mahendragarh,Mahendragarh,69,
Haryana,Mahindergarh,Mahendragarh,69,
Haryana,Panchkula,Panchkula,70,
Haryana,Panipat,Panipat,71,
Haryana,Rewari,Rewari,72,
Haryana,Rohtak,Rohtak,73,
Haryana,Sirsa,Sirsa,74,
Haryana,Sonepat,Sonipat,75,
Haryana,Sonipat,Sonipat,75,
Haryana,Yamunanagar,Yamunanagar,76,
Haryana,Mewat,Nuh,604,
Haryana,Nuh,Nuh,604,
Haryana,Palwal,Palwal,619,
Haryana,Charkhi Dadri,Charkhi Dadri,701,
Haryana,Charki Dadri,Charkhi Dadri,701,
Himachal Pradesh,Bilaspur,Bilaspur,15,
Himachal Pradesh,Chamba,Chamba,16,
Himachal Pradesh,Hamirpur,Hamirpur,17,
Himachal Pradesh,Kangra,Kangra,18,
Himachal Pradesh,Kinnaur,Kinnaur,19,
Himachal Pradesh,Kullu,Kullu,20,
Himachal Pradesh,Kulu,Kullu,20,
Himachal Pradesh,Lahaul & Spiti,Lahaul and Spiti,21,
Himachal Pradesh,Lahaul And Spiti,Lahaul and Spiti,21,
Himachal Pradesh,Lahul & Spiti,Lahaul and Spiti,21,
Himachal Pradesh,Mandi,Mandi,22,
Himachal Pradesh,Shimla,Shimla,23,
Himachal Pradesh,Simla,Shimla,23,
Himachal Pradesh,Sirmaur,Sirmaur,24,
Himachal Pradesh,Solan,Solan,25,
Himachal Pradesh,Una,Una,26,
Jammu and Kashmir,Anantnag,Anantnag,1,
Jammu and Kashmir,Badgam,Budgam,2,
Jammu and Kashmir,Budgam,Budgam,2,
Jammu and Kashmir,Baramulla,Baramulla,3,
Jammu and Kashmir,Doda,Doda,4,
Jammu and Kashmir,Jammu,Jammu,5,
Jammu and Kashmir,Kargil,Kargil,6,
Jammu and Kashmir,Kathua,Kathua,7,
Jammu and Kashmir,Kupwara,Kupwara,8,
Jammu and Kashmir,Leh Ladakh,Leh Ladakh,9,
Jammu and Kashmir,Poonch,Poonch,10,
Jammu and Kashmir,Punch,Poonch,10,
Jammu and Kashmir,Pulwama,Pulwama,11,
Jammu and Kashmir,Rajouri,Rajouri,12,
Jammu and Kashmir,Srinagar,Srinagar,13,
Jammu and Kashmir,Udhampur,Udhampur,14,
Jammu and Kashmir,Kishtwar,Kishtwar,620,
Jammu and Kashmir,Ramban,Ramban,621,
Jammu and Kashmir,Kulgam,Kulgam,622,
Jammu and Kashmir,Bandipora,Bandipora,623,
Jammu and Kashmir,Bandipore,Bandipora,623,
Jammu and Kashmir,Samba,Samba,624,
Jammu and Kashmir,Shopian,Shopian,625,
Jammu and Kashmir,Ganderbal,Ganderbal,626,
Jammu and Kashmir,Reasi,Reasi,627,
Jharkhand,Bokaro,Bokaro,322,
Jharkhand,Chatra,Chatra,323,
Jharkhand,Deoghar,Deoghar,324,
Jharkhand,Dhanbad,Dhanbad,325,
Jharkhand,Dumka,Dumka,326,
Jharkhand,East Singhbhum,East Singhbum,327,
Jharkhand,East Singhbum,East Singhbum,327,
Jharkhand,Purbi Singhbhum,East Singhbum,327,
Jharkhand,Garhwa,Garhwa,328,
Jharkhand,Giridih,Giridih,329,
Jharkhand,Godda,Godda,330,
Jharkhand,Gumla,Gumla,331,
Jharkhand,Hazaribag,Hazaribagh,332,
Jharkhand,Hazaribagh,Hazaribagh,332,
Jharkhand,Jamtara,Jamtara,333,
Jharkhand,Kodarma,Koderma,334,
Jharkhand,Koderma,Koderma,334,
Jharkhand,Latehar,Latehar,335,
Jharkhand,Lohardaga,Lohardaga,336,
Jharkhand,Lohardagga,Lohardaga,336,
Jharkhand,Pakur,Pakur,337,
Jharkhand,Palamau,Palamu,338,
Jharkhand,Palamu,Palamu,338,
Jharkhand,Ranchi,Ranchi,339,
Jharkhand,Sahebganj,Sahebganj,340,
Jharkhand,Sahibganj,Sahebganj,340,
Jharkhand,Saraikela Kharsawan,Saraikela Kharsawan,341,
Jharkhand,Saraikela-Kharsawan,Saraikela Kharsawan,341,
Jharkhand,Sarikela Kharsawan,Saraikela Kharsawan,341,
Jharkhand,Seraikela Kharsawan,Saraikela Kharsawan,341,
Jharkhand,Seraikela-kharsawan,Saraikela Kharsawan,341,
Jharkhand,Simdega,Simdega,342,
Jharkhand,Paschimi Singhbhum,West Singhbhum,343,
Jharkhand,Pashchimi Singhbhum,West Singhbhum,343,
Jharkhand,West Singhbhum,West Singhbhum,343,
Jharkhand,Khunti,Khunti,606,
Jharkhand,Ramgarh,Ramgarh,607,
Karnataka,Bagalkot,Bagalkote,524,
Karnataka,Bagalkote,Bagalkote,524,
Karnataka,Bangalore Urban,Bengaluru Urban,525,
Karnataka,Bengaluru Urban,Bengaluru Urban,525,
Karnataka,Bangalore Rural,Bengaluru Rural,526,
Karnataka,Bangaluru Rural,Bengaluru Rural,526,
Karnataka,Bengaluru Rural,Bengaluru Rural,526,
Karnataka,Belagavi,Belagavi,527,
Karnataka,Belgaum,Belagavi,527,
Karnataka,Ballari,Ballari,528,
Karnataka,Bellary,Ballari,528,
Karnataka,Bidar,Bidar,529,
Karnataka,Bijapur,Vijayapura,530,
Karnataka,Vijayapura,Vijayapura,530,
Karnataka,Chamarajanagar,Chamarajanagar,531,
Karnataka,Chikkamagaluru,Chikkamagaluru,532,
Karnataka,Chikmagalur,Chikkamagaluru,532,
Karnataka,Chitradurga,Chitradurga,533,
Karnataka,Dakshin Kannad,Dakshina Kannada,534,
Karnataka,Dakshina Kannada,Dakshina Kannada,534,
Karnataka,Davanagere,Davanagere,535,
Karnataka,Davangere,Davanagere,535,
Karnataka,Dharwad,Dharwad,536,
Karnataka,Gadag,Gadag,537,
Karnataka,Gulbarga,Kalaburagi,538,
Karnataka,Kalaburagi,Kalaburagi,538,
Karnataka,Hassan,Hassan,539,
Karnataka,Haveri,Haveri,540,
Karnataka,Coorg (Kodagu),Kodagu,541,
Karnataka,Kodagu,Kodagu,541,
Karnataka,Kolar,Kolar,542,
Karnataka,Koppal,Koppal,543,
Karnataka,Mandya,Mandya,544,
Karnataka,Mysore,Mysuru,545,
Karnataka,Mysuru,Mysuru,545,
Karnataka,Raichur,Raichur,546,
Karnataka,Shimoga,Shivamogga,547,
Karnataka,Shivamogga,Shivamogga,547,
Karnataka,Tumakuru,Tumakuru,548,
Karnataka,Tumkur,Tumakuru,548,
Karnataka,Udipi,Udupi,549,
Karnataka,Udupi,Udupi,549,
Karnataka,Uttar Kannad,Uttara Kannada,550,
Karnataka,Uttar Kannada,Uttara Kannada,550,
Karnataka,Uttara Kannada,Uttara Kannada,550,
Karnataka,Chikkaballapur,Chikkaballapura,630,
Karnataka,Chikkaballapura,Chikkaballapura,630,
Karnataka,Ramanagara,Ramanagara,631,
Karnataka,Ramnagara,Ramanagara,631,
Karnataka,Yadagir,Yadgir,635,
Karnataka,Yadgir,Yadgir,635,
Karnataka,Vijayanagara,Vijayanagara,738,
Kerala,Alappuzha,Alappuzha,554,
Kerala,Alappuzhan(Alleppy),Alappuzha,554,
Kerala,Alapuzha,Alappuzha,554,
Kerala,Ernakulam,Ernakulam,555,
Kerala,Idukki,Idukki,556,
Kerala,Kannur,Kannur,557,
Kerala,Kasaragod,Kasaragod,558,
Kerala,Kasargod,Kasaragod,558,
Kerala,Kollam,Kollam,559,
Kerala,Kottayam,Kottayam,560,
Kerala,Kozhikode,Kozhikode,561,
Kerala,Malappuram,Malappuram,562,
Kerala,Palakkad,Palakkad,563,
